Frequency - Amplitude	Voltage amplitude - Amplitude
2713.15	1.89477
2714.23	1.89392
2715.19	1.89267
2716.09	1.89191
2717.16	1.89083
2718.23	1.89005
2719.29	1.88874
2720.17	1.88777
2721.19	1.88684
2722.22	1.88556
2723.23	1.88475
2724.2	1.88353
2725.21	1.88257
2726.21	1.88145
2727.15	1.88056
2728.29	1.87888
2729.18	1.87777
2730.27	1.87661
2731.27	1.87501
2732.21	1.87415
2733.33	1.87272
2734.19	1.87124
2735.24	1.87018
2736.21	1.86842
2737.2	1.86718
2738.4	1.86564
2739.16	1.86422
2740.19	1.8633
2741.32	1.8617
2742.27	1.85981
2743.23	1.85876
2744.34	1.85691
2745.26	1.85537
2746.24	1.85347
2747.22	1.85141
2748.29	1.85046
2749.39	1.84863
2750.29	1.84673
2751.23	1.84503
2752.32	1.84293
2753.26	1.84091
2754.21	1.83962
2755.36	1.8372
2756.24	1.83523
2757.36	1.83304
2758.37	1.83099
2759.21	1.8288
2760.42	1.82676
2761.33	1.82455
2762.28	1.82245
2763.33	1.81989
2764.35	1.81781
2765.24	1.81545
2766.4	1.81276
2767.41	1.81014
2768.51	1.80702
2769.32	1.8046
2770.4	1.8022
2771.5	1.79923
2772.39	1.79614
2773.25	1.79347
2774.46	1.78964
2775.42	1.78734
2776.48	1.78342
2777.39	1.78101
2778.38	1.77731
2779.43	1.7734
2780.4	1.77014
2781.36	1.76693
2782.49	1.76303
2783.48	1.75943
2784.37	1.75548
2785.54	1.75136
2786.45	1.74691
2787.51	1.74285
2788.46	1.73848
2789.48	1.73435
2790.54	1.72929
2791.49	1.72507
2792.37	1.72029
2793.48	1.71498
2794.52	1.71007
2795.59	1.70421
2796.52	1.69913
2797.53	1.69425
2798.62	1.68812
2799.57	1.6822
2800.48	1.67647
2801.62	1.66975
2802.53	1.66349
2803.58	1.65726
2804.62	1.64983
2805.56	1.64311
2806.6	1.63536
2807.62	1.62803
2808.6	1.62099
2809.62	1.61244
2810.6	1.60504
2811.59	1.59743
2812.67	1.58828
2813.57	1.58047
