Frequency - Amplitude	Voltage amplitude - Amplitude
2950.51	0.722709
2952.73	0.730348
2954.66	0.737971
2956.81	0.745616
2958.72	0.752542
2960.85	0.759982
2962.74	0.767085
2964.7	0.774715
2966.63	0.781435
2968.81	0.788938
2970.88	0.796679
2973.09	0.803824
2974.8	0.810374
2976.88	0.817785
2979.13	0.824917
2980.97	0.831491
2983.01	0.838891
2984.95	0.845876
2987.08	0.852866
2988.94	0.859258
2990.88	0.866583
2993.01	0.873617
2995.02	0.880643
2996.87	0.886885
2999.06	0.89392
3001.1	0.90049
3003.2	0.907621
3004.97	0.913667
3007.16	0.920386
3009.16	0.927234
3011.26	0.934159
3013.06	0.939816
3015.19	0.946563
3017.23	0.953249
3019.4	0.959681
3021.19	0.965566
3023.18	0.971836
3025.36	0.978496
3027.08	0.984203
3029.29	0.990857
3033.29	1.00349
3035.31	1.00871
3037.31	1.01482
3039.28	1.02126
3041.38	1.02722
3043.17	1.0329
3045.32	1.03886
3047.38	1.04485
3049.47	1.051
3051.34	1.05627
3053.36	1.0621
3055.44	1.06805
3057.52	1.07352
3059.35	1.07899
3061.52	1.08473
3063.47	1.09039
3065.38	1.09538
3067.4	1.10125
3069.57	1.10677
3071.48	1.11218
3073.39	1.11717
3075.54	1.12258
3077.5	1.12786
3079.59	1.13316
3081.55	1.13803
3083.57	1.14326
3085.58	1.14842
3087.54	1.15408
3089.54	1.15845
3091.57	1.16377
3093.6	1.16858
3095.76	1.17346
3097.53	1.17852
3099.68	1.1835
3101.64	1.188
3103.56	1.19263
3105.7	1.19753
3107.68	1.20237
3109.59	1.20713
3111.51	1.2115
3113.56	1.21619
3115.77	1.22088
3117.8	1.22549
3119.58	1.22977
3123.78	1.23873
3125.79	1.24341
3127.67	1.24736
3129.81	1.25167
3131.79	1.25642
3133.75	1.26076
3135.54	1.26459
3137.73	1.26925
3139.75	1.27328
3141.75	1.27728
3143.64	1.28134
3145.75	1.28547
3147.88	1.28964
3149.78	1.29321
3151.74	1.29737
3153.81	1.30151
3155.9	1.30508
3157.71	1.30905
3159.77	1.31291
3161.8	1.317
3163.89	1.32098
3165.82	1.32451
3167.73	1.32828
3169.8	1.33194
3171.9	1.33569
3173.84	1.33901
3175.82	1.34292
3177.91	1.34637
3179.77	1.3498
3181.83	1.35337
3183.86	1.35717
3187.82	1.36398
3189.84	1.36754
3191.87	1.37118
3193.9	1.37481
3197.9	1.38102
3199.94	1.38465
3201.99	1.38798
3203.82	1.39095
3205.87	1.39399
3207.93	1.39731
3210.01	1.40067
3211.88	1.40351
3214.01	1.40648
3216.02	1.4101
3218.08	1.41314
3219.87	1.41586
3221.9	1.41882
3224.07	1.42193
3225.92	1.42498
3228.02	1.42749
3229.99	1.43089
3232.03	1.43363
3233.86	1.4364
3235.92	1.43925
3238.05	1.44199
3240.06	1.44474
3242	1.44768
3243.98	1.45021
3246.08	1.45327
3248.18	1.45586
3250.06	1.45841
3252.03	1.46088
3254.09	1.46388
3256.04	1.46659
3258.02	1.46904
3260.05	1.47148
3262.13	1.47419
3264.11	1.47689
3266.07	1.47953
3268.05	1.48213
3270.19	1.48457
3272.11	1.48699
3276.07	1.49204
3278.19	1.49458
3280.08	1.49669
3282.02	1.49921
3284.08	1.5018
3286.22	1.50427
3288.03	1.50635
3290.11	1.50892
3292.19	1.51116
3294.21	1.51332
3296.16	1.51575
3298.11	1.51807
3300.23	1.52024
3302.05	1.52252
3304.15	1.52463
3306.06	1.52677
3308.13	1.52942
3310.23	1.53117
3312.19	1.53335
3314.22	1.53539
3316.23	1.53762
3318.12	1.53968
3320.3	1.54185
3322.22	1.54367
3324.17	1.54594
3326.12	1.54748
3328.22	1.54969
3330.22	1.55147
3332.39	1.55336
3333.96	1.55583
3336.06	1.55763
3338.01	1.5597
3339.87	1.56136
3341.91	1.56336
3344.04	1.56515
3345.99	1.56718
3347.99	1.56885
3350.01	1.57093
3351.94	1.57285
3354.16	1.57481
3355.97	1.57632
3358	1.57823
3360.12	1.58024
3362.17	1.582
3364.03	1.58362
3366.04	1.58523
3368.06	1.5869
3370.09	1.58875
3371.93	1.59033
3374.12	1.59213
3376.08	1.5939
3378.01	1.59551
3379.99	1.59724
3382.08	1.59899
3384.06	1.60054
3385.99	1.60208
3388.07	1.60394
3390.03	1.60555
3392.11	1.60714
3393.95	1.60855
3396	1.61023
3398.08	1.61202
3400.05	1.61346
3402.06	1.61476
3404.11	1.61626
3406.08	1.61809
3408.21	1.61927
3410.1	1.62102
3412.02	1.62265
3414.07	1.6241
3416.1	1.62533
3417.99	1.62685
3420.05	1.6281
3422.11	1.6293
3423.97	1.63087
3426.06	1.63233
3428.11	1.63381
3430.05	1.63509
3431.99	1.63638
3434.02	1.63791
3436.13	1.63924
3438.2	1.64084
3440.1	1.64186
3442.17	1.64324
3444.08	1.64454
3446.15	1.64611
3448.07	1.64684
3450.01	1.6482
3452.13	1.64972
3454.19	1.651
