Frequency - Amplitude	Voltage amplitude - Amplitude
11920.1	1.88913
11940	1.88866
11960.1	1.88868
11980	1.88888
12000.1	1.88876
12020.1	1.8889
12040.1	1.88842
12060.2	1.88855
12080.1	1.88842
12100	1.88824
12120.2	1.88811
12140.1	1.8882
12160.2	1.88791
12180.1	1.88788
12200.1	1.88782
12220.2	1.88765
12240.1	1.8878
12260	1.88763
12280.1	1.88729
12300.1	1.88745
12320	1.88712
12340.2	1.88732
12360	1.88715
12380.2	1.88698
12400.1	1.88688
12420	1.88679
12440.2	1.88691
12460.1	1.88681
12480	1.88654
12500.1	1.88615
12520	1.88622
12540.2	1.88631
12560.1	1.88608
12580	1.88612
12600.2	1.88585
12620.1	1.88576
12640	1.88591
12660.2	1.88576
12680	1.88566
12700.2	1.88567
12720.1	1.88526
12740	1.88531
12760.2	1.88526
12780	1.88506
12800	1.88498
12820.1	1.88473
12840.1	1.88474
12860.2	1.8843
12880.1	1.88428
12900.1	1.88416
12920.2	1.88433
12940.1	1.88413
12960.1	1.88387
12980.2	1.88403
13000.1	1.88343
13020.2	1.88333
13040.1	1.88331
13060.1	1.88329
13080.1	1.88313
13100.1	1.88277
13120.1	1.88269
13140.2	1.88231
13160.1	1.88248
13180.2	1.88244
13200.1	1.88224
13220.1	1.88194
13240.2	1.88179
13260	1.88198
13280	1.88166
13300.1	1.88143
13320.1	1.88124
13340.2	1.88119
13360	1.88085
13380.1	1.88059
13400.2	1.8809
13420.1	1.88066
13440.1	1.88046
13460.2	1.87981
13480.1	1.87995
13500.2	1.88007
13520.1	1.87974
13540.1	1.87923
13560.2	1.87941
13580.1	1.8791
13600.1	1.87894
13620.2	1.87877
13640.1	1.87841
13660.2	1.8783
13680.1	1.87833
13700.1	1.87789
13720.2	1.87747
13740.1	1.87775
13760	1.87707
13780.1	1.87732
13800	1.87676
13820.3	1.87678
13840.1	1.87676
13860.1	1.87608
13880.2	1.87591
13900.1	1.8759
13920	1.87569
13940.1	1.87557
13960.1	1.87484
13980.2	1.87502
14000.1	1.87469
14020.1	1.87447
14040.2	1.87439
14060.1	1.874
14080.1	1.87401
14100.1	1.87335
14120	1.87325
14140.2	1.87272
14160.1	1.87266
14180.1	1.8725
14200.2	1.87224
14220.2	1.8719
14240.1	1.87156
14260.2	1.87133
14280.1	1.87132
14300.2	1.87067
14320.1	1.87027
14340.1	1.86993
14360.2	1.86962
14380.2	1.86955
14400	1.86926
14420.1	1.86889
14440.1	1.8688
14460.2	1.86831
14480.2	1.86796
14500	1.86755
14520.2	1.86737
14540	1.86693
14560.1	1.86648
14580.2	1.86622
14600.1	1.86562
14620.2	1.86531
14640.2	1.86497
14660	1.86469
14680.2	1.86412
14700.1	1.86367
14720.1	1.86336
14740.1	1.86295
14760.1	1.86236
14780.2	1.86221
14800.1	1.86176
14820.1	1.86111
14840.2	1.86062
14860.1	1.86049
14880.1	1.85973
14900.2	1.8595
14920.1	1.85898
14940.2	1.85866
14960.2	1.85811
14980.1	1.85739
15000.2	1.85697
15020.1	1.85653
15040	1.85569
15060.2	1.85547
15080.1	1.85471
15100.2	1.85445
15120.1	1.85396
15140.1	1.8532
15160.2	1.8526
15180.2	1.8519
15200.1	1.85146
15220.1	1.85119
15240	1.85019
15260.2	1.84956
15280.1	1.8491
15300.2	1.84827
15320.2	1.84763
15340.1	1.84676
15360.1	1.84638
15380.2	1.84541
15400.1	1.84491
15420.1	1.84408
15440.2	1.84343
15460.1	1.84242
15480.2	1.84178
15500.1	1.84093
15520.2	1.84059
15540.2	1.83941
15560.1	1.83847
15580.1	1.83784
15600.2	1.83729
15620.1	1.83609
15640.2	1.83507
15660.1	1.83433
15680.1	1.8334
15700.2	1.83213
15720.2	1.8312
15740	1.83032
15760.1	1.82926
15780.1	1.82821
15800.2	1.82696
15820.2	1.8259
15840	1.82496
15860.2	1.82387
15880.1	1.82267
15900.1	1.82161
15920.2	1.82036
15940.1	1.81908
15960.2	1.81771
15980.2	1.81632
16000	1.81517
16020.2	1.8138
16040.1	1.81246
16060.1	1.81126
16080.2	1.80949
16100.1	1.80786
16120.2	1.80669
16140.2	1.80488
16160	1.8034
16180.2	1.80179
16200.1	1.8002
16220	1.79819
16240.1	1.79638
16260.1	1.79486
16280.2	1.79289
16300.1	1.7912
16320.1	1.78931
16340.2	1.78721
16360.2	1.78513
16380.1	1.78313
16400.1	1.78124
16420.1	1.77871
16440.3	1.77657
16460.2	1.77424
16480.1	1.77193
16500.3	1.76952
16520.1	1.7668
16540	1.76441
16560.1	1.76194
16580.1	1.75929
16600.2	1.75653
16620.2	1.75348
16640.1	1.75065
16660.2	1.74781
16680.1	1.74473
16700.1	1.74151
16720.2	1.73819
16740.1	1.73463
16760.2	1.73124
16780.2	1.72789
16800.1	1.72392
16820.2	1.72012
16840.1	1.71651
16860	1.71252
16880.2	1.70813
16900.1	1.70388
16920.3	1.69957
16940.2	1.695
16960.1	1.6903
16980.2	1.68541
17000.1	1.68042
17020	1.67556
17040.2	1.67005
17060.1	1.66465
17080.2	1.65883
17100.2	1.65334
17120.1	1.6472
17140.1	1.64088
17160.2	1.63462
17180	1.62805
17200.2	1.62087
17220.1	1.61393
17240.2	1.60653
17260.1	1.5989
17280.2	1.5909
17300.2	1.58301
17320.2	1.57454
17340	1.56615
17360.1	1.55703
17380	1.54781
17400.2	1.53838
17420.1	1.52845
17440.1	1.51828
17460.2	1.50778
17480.2	1.49724
17500	1.4858
17520.2	1.4744
17540.1	1.4627
17560.2	1.45043
17580.2	1.43798
17600.1	1.42538
17620.2	1.41202
17640.2	1.39859
17660.1	1.38487
17680.1	1.37047
17700.2	1.35588
17720.3	1.34095
17740.1	1.32592
17760.1	1.31037
17780.3	1.29425
17800.2	1.27857
17820.1	1.26206
17840.3	1.24581
17860.3	1.22941
17880.3	1.21253
17900.2	1.19641
17920.1	1.17948
17940.3	1.16292
17960.2	1.14668
17980.1	1.13039
18000.3	1.11462
18020.3	1.09923
18040.2	1.08408
18080.2	1.05623
18100.4	1.04233
18120.3	1.03014
18140.3	1.01863
18160.3	1.00767
18180.2	0.99783
18200.3	0.98949
18220.2	0.981377
18240.2	0.975129
18260.5	0.969892
18280.1	0.96568
18300.2	0.962867
18320.2	0.960718
18340.1	0.96052
18360	0.961084
18380.1	0.962996
18400	0.965947
18420.1	0.969847
18440	0.975028
18459.9	0.980862
18480.2	0.987996
18500.1	0.995732
18519.9	1.00431
18540	1.01385
18560.2	1.02365
18580.1	1.03427
18600.1	1.04521
18619.9	1.0568
18640.1	1.06861
18659.9	1.08085
